                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2402,                 1.2232,                 1.4652,                0.84757,                0.66105,                0.82177,                0.59027,                 1.0652,                0.98572,                 1.4321,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.2143,                 1.1922,                 1.4438,                0.76397,                0.65641,                0.77291,                0.53399,                 1.1478,                 1.2424,                 1.4846,               0.001538,               0.001538,               0.001538
                     37,                  1.253,                 1.2113,                 1.4435,                0.67347,                0.63464,                0.68853,                0.47573,                 1.3367,                 1.2514,                 1.6328,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.1746,                 1.1612,                 1.4132,                0.83287,                0.67133,                0.80983,                0.60167,                 1.0707,                0.95784,                 1.3771,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.1658,                 1.1472,                  1.428,                0.84207,                 0.6993,                 0.8201,                0.59688,                 1.1035,                0.99775,                 1.4054,              0.0014984,              0.0014984,              0.0014984
                     40,                  1.167,                 1.1647,                 1.4287,                0.82107,                0.60972,                0.73025,                 0.5078,                  1.229,                 1.2453,                 1.5129,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.2082,                 1.1763,                 1.4459,                0.81278,                0.67133,                0.76528,                0.54606,                 1.2021,                 1.1293,                 1.4959,               0.001472,               0.001472,               0.001472
                     42,                   1.18,                 1.1458,                 1.4185,                 0.8658,                0.67673,                0.83502,                  0.617,                 1.0522,                0.93635,                  1.405,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.1563,                 1.1306,                 1.4206,                0.74876,                0.70862,                0.77851,                0.54712,                 1.1747,                  1.174,                 1.4599,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.1479,                 1.1384,                 1.4042,                 0.8466,                0.67133,                0.80429,                0.60528,                0.99366,                0.94158,                 1.3408,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.1836,                 1.1378,                 1.4263,                0.69539,                0.74825,                0.77671,                0.56107,                 1.0846,                0.97522,                 1.4136,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.1552,                 1.1227,                  1.395,                0.80774,                0.69231,                0.81914,                 0.6247,                0.99411,                0.88698,                 1.3337,               0.001406,               0.001406,               0.001406
                     47,                 1.1036,                 1.1004,                 1.3783,                0.77955,                0.79131,                0.85211,                0.65178,                0.93467,                0.83128,                 1.3231,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.1058,                 1.0758,                 1.3749,                0.87696,                0.74762,                0.87077,                0.66634,                0.92099,                0.80334,                 1.2829,              0.0013796,              0.0013796,              0.0013796
                     49,                 1.1324,                 1.0858,                  1.384,                 0.7707,                0.71329,                0.79746,                 0.5899,                 1.0065,                0.94414,                 1.3301,              0.0013664,              0.0013664,              0.0013664
                     50,                 1.1583,                 1.0652,                 1.3765,                 0.8465,                 0.6993,                0.82968,                0.60955,                  1.003,                 0.8931,                 1.3218,              0.0013532,              0.0013532,              0.0013532
                     51,                 1.1012,                 1.0971,                 1.4148,                0.85166,                 0.6993,                0.84181,                0.64772,                0.96229,                 0.8574,                 1.3225,                0.00134,                0.00134,                0.00134
                     52,                 1.1032,                 1.0638,                 1.3696,                 0.7959,                0.74825,                0.82848,                0.64173,                 0.9193,                0.89379,                 1.2783,              0.0013268,              0.0013268,              0.0013268
                     53,                 1.0906,                 1.0308,                 1.3767,                0.82044,                0.74825,                 0.8452,                0.65429,                0.99448,                0.84172,                 1.3003,              0.0013136,              0.0013136,              0.0013136
                     54,                 1.0855,                  1.051,                 1.3801,                0.89795,                0.72028,                0.86292,                0.65141,                0.94441,                0.79925,                 1.2811,              0.0013004,              0.0013004,              0.0013004
                     55,                  1.092,                 1.0617,                 1.3883,                0.80055,                0.79021,                0.86999,                0.65106,                0.95441,                0.79923,                 1.2899,              0.0012872,              0.0012872,              0.0012872
                     56,                  1.101,                 1.0512,                 1.3666,                0.79509,                0.76923,                0.85825,                0.64352,                0.97502,                 0.8042,                 1.2653,               0.001274,               0.001274,               0.001274
                     57,                 1.0884,                  1.043,                 1.3581,                0.84545,                0.65031,                0.80623,                0.61994,                0.97938,                0.87946,                 1.2629,              0.0012608,              0.0012608,              0.0012608
                     58,                 1.0831,                 1.0412,                 1.3601,                0.82796,                0.73427,                0.84675,                0.64321,                0.93999,                0.81915,                 1.2871,              0.0012476,              0.0012476,              0.0012476
